"","Link","ID","Title","Area","Number_of_Rooms","Price","Condition","Year_of_Construction","Comfort_level","Floor","Floors_of_Building","Elevator","Inner_height","Heating","Bathroom_and_Toilet","Orientation","View","Garden_Connection","Attic","Parking","Description","Overhead","Balcony"
"1","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/31883634","31883634","8. kerület, Vajda Péter utca 7-13",31," 1 ",NA,"újszerû","1950-1980 között","összkomfortos","4","5","van","3 m vagy magasabb","gáz (konvektor)","egy helyiségben","nincs megadva","panorámás","nem","nem tetõtéri","utca, közterület - fizetõs övezet"," FIGYELEM ! KÉREM FIGYELMESEN OLVASSA VÉGIG ! A 8.KERÜLET KEDVELT RÉSZÉN , A TISZTVISELÕ TELEPEN TULAJDONOSTÓL ELADÓ EGY 1 SZOBA+KONYHÁS TÉGLA GARZON ! NAGYON JÓ BEOSZTÁSÚ ÓRIÁSI KONYHÁVAL ÉS ÉLHETÕ SZOBÁVAL AMELY EGÉSZ NAP NAPFÉNYBEN FÜRDIK ! ! A LAKÁS TELJESKÖRÛ FELÚJÍTÁSON ESETT ÁT AMELY FÉNYKÉPEKKEL IS DOKUMENTÁLT ! ÚJ VILLANY ÉS VÍZVEZETÉKEK, ÚJ FÜRDÕSZOBA ,ÚJ SZANITEREK , ÚJ BURKOLATOK ,MODERN KIVÁLÓ MINÕSÉGÛ AJTÓK ÉS ABLAKOK , ÚJ KONYHABÚTOR ! FÛTÉSE GÁZKONVEKTOR ÉS ELEKTROMOS FÛTÕPANEL ILL. A FÜRDÕBEN ELEKTROMOS RADIÁTOR ! SZOMSZÉDOK EGYMÁSRA ODAFIGYELÕ KEDVES EMBEREK !KÖZLEKEDÉS: 99-S BUSZ ÉS 24-S VILLAMOS 1 PERCEN BELÜL, KELETI PU. ÉS A NAGYVÁRAD TÉR CSUPÁN NÉHÁNY MEGÁLLÓ ! BEVÁSÁRLÁS ,ISKOLÁK,ÓVODÁK KARNYÚJTÁSNYIRA !HA NEM SZERETNE A FELÚJÍTÁSSAL VESZÕDNI , DE SZERETNE EGY KEDVES KIS OTTHONT AKKOR MEGTALÁLTA !JELENLEG AZ EGYIK LEGJOBB ÁR-ÉRTÉK ARÁNYÚ INGATLAN A PIACON, MIELÕTT BÁRMI MÁS MELLETT DÖNTENE, KÉREM JÖJJÖN EL ÉS TEKINTSE MEG !!ÁR:20,9m ami készpénzre vonatkozik!!Hitel esetén az ár 500 ezer forinttal több!!HITELT IS MEGVÁRUNK !!Megtekintés:BÁRMIKORAz ingatlan 1/1-s tulajdonunkban van,per,teher és igénymentes,azonnal birtokba vehetõ!!!KÉREM,HOGY TELEFONON ÉRDEKLÕDNI KIZÁRÓLAG HÉTFÕTÕL PÉNTEKIG 09-17 ÓRÁIG LEGYENEK SZÍVESEK! ",NA,NA
"2","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/31826622","31826622","8. kerület, Józsefváros – Csarnoknegyed",32," 1 ",NA,"jó állapotú","1950 elõtt","nincs megadva","2","3","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva"," Vilagos,utcai fekvésû lakás !Eladó Bauhaus tipusú házban, 2.emeleti, utcára nézõ, 32nm-es, 1 szobás, jó állapotú lakás.Nyugati fekvésû, jó elosztású ingatlan. Minden helyiség külön bejáratú.A konyha, és fürdõszoba belsõ udvarra ablakos, pincében minden lakáshoz tartozik saját tároló.Közösköltség 13EFt/hó, amely tartalmazza a vízfogyasztást, felújítási alapot.TársasházKifejezetten csendes, kis lakásszámú (11 lakásos) társasház,az épület mûszakilag teljesen felújítva, ablakok új szúnyoghálós mûanyagra cserélve,Hátsó zárt kert a lakók számára, fûtött belsõ folyosók!Remek választás befektetésre és saját használatra. Hasonló társasházat nehezen találni a leromlott Budapesti ingatlanállományból.Tehermentesen, azonnal átvehetõirányár 20.900.000 ",NA,NA
"3","https://ingatlan.com/vii-ker/elado+lakas/tegla-epitesu-lakas/31918816","31918816","7. kerület, Marek József utca",31," 1 ",NA,"közepes állapotú","1950 elõtt","összkomfortos","1","2","nincs","3 m vagy magasabb","gáz (konvektor)","egy helyiségben","nyugat","utcai","nem","nem tetõtéri","utca, közterület - fizetõs övezet"," A megújuló Városliget zöld övezete mellett lakás eladó!Eladóvá vált a Városliget szomszédságában egy 1 szobás, 31 négyzetméteres, elsõ emeleti, keleti fekvésû, részben felújított lakás a Marek József utcán.A lakásban 15 éve mûszaki felújítás történt amikor kicserélték a víz és áram vezetékeket, de egy esztétikai felújításra szükség lesz, ezzel lehetõséget biztosítva az új tulajdonosnak a saját ízlésére formální az ingatlan belsõ tereit.A ház homlokzata felújítandó, de a közös költség tartalmaz egy felújítási alapot is, amibõl folyamatosan újul meg a ház egy-egy része. Például a lakással szemben lévõ tetõszerkezet és kéményrendszer már meg is újult!A lakásba belépéskor jobbra a fürdõszoba nyílik, innen egy lépéssel tovább haladva a konyhába érkezünk, amit egy konyhapult választ el az elõszobától. Ezután elõre haladva, a szoba nyílik meg elõttünk, ami a két utcai ablaknak köszönhetõen szép világos és napfényes.A közös költség 10.000 ft, ami tartalmazza a szemétszállítást és a takarítást, a felújítási alap mellett.Rendelkezik vízórával, ami biztosítja a fogyasztáshoz mért költségeket is.A lakás melegérõl a téli idõszakban egy gázkonvektor gondoskodik, jelen pillanatban.Környék:Infrastruktúrája jó, pár perc sétára megtalálható a Városliget, ami egyre szebb és szebb lesz, az idõk során. Közelben található az Állatorvostudományi egyetem, valamint a Károli Gáspár Református egyetem is.Megtalálható még sok kis üzlethelység, élelmiszerbolt (Spár) pékség, cukrászda, étterem, pub, dohánybolt.Közlekedés:Gépjármû parkolása az utcán lehetséges, fizetõs övezetben.Tömegközlekedés szempontjából viszont 2 perc sétára elérhetõ egy-egy megállóhely, a 74-es, 79M, valamint a 78-as trolik megállója. A lakástól maximum 10 percre a Dózsa György úton pedig elérhetõek a 30, 30A buszjáratai is. Nem sokkal távolabb a másik irányba pedig a keleti pályaudvar is fellelhetõ, ahonnan a város fõbb pontjai is elérhetõek.Adatbázisunkban további több ezer ingatlanból választhat, hívjon bizalommal, hogy megtaláljuk a legmegfelelõbbet!Hitelre van szüksége? Teljes körû és díjmentes hitelügyintézéssel, biztosításkötéssel áll rendelkezésére szakértõ kollégánk. Kérje személyre szabott ajánlatunkat! ","15 000 Ft/hó",NA
"4","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/31832257","31832257","8. kerület, Bláthy Ottó utca 42.",37," 1 ",NA,"felújított","1950 elõtt","komfortos","3","4","nincs","3 m vagy magasabb","gáz (konvektor)","külön helyiségben","kelet","utcai","nem","nem tetõtéri","udvari beálló - bérelhetõ","   Bemutatóvideó az ingatlanról  icomTagManagerEvent.addExtraFeatureEvent('megjelenes', 'bemutatoVideo');   Virtuális séta az ingatlanban  icomTagManagerEvent.addExtraFeatureEvent('megjelenes', 'virtualisSeta'); FIATALOS, NAPFÉNYES LAKÁS JÓZSEFVÁROSBANELHELYEZKEDÉSAz ingatlan Budapest VIII. kerületében, a Tisztviselõtelep közvetlen szomszédságában, a Delej-Vajda Péter-Bláthy Ottó utca által határolt területen, az 1910-ben épült épületegyüttes, az ún. „Kolónia” területén helyezkedik el. A sajátos hangulatú, mind város-, mind pedig kultúrtörténeti jelentõségû komplexum egy teljesen zárt lakóövezetet alkot.AZ INGATLANFiatalosan berendezett, rendkívül napfényes, egy szobás lakás. A lakás 2014-ben teljes felújításon esett át, az elektromos- és vízvezetékeket teljesen kicserélték, az ablakokat mûanyag, szúnyoghálós ablakokra cserélték. A vételár részét képezi a lakás teljes berendezése, beleértve a konyhai berendezéseket, a mosógépet, illetve a nappali bútorokat.KINEK AJÁNLOM?Az ingatlan ideális választás lehet mindazoknak, akiknek egy megfizethetõ lakást szeretnének, akár elsõ lakásként. Az egyetemek közelsége is fontos szempont lehet az ingatlan szempontjából, több oktatási intézmény is akár pár perces gyaloglással elérhetõ távolságban van.A parkolás a komplexum zárt területén belül egy jelképes havi díj ellenében megoldható.Bármilyen kérdés esetén állok szíves rendelkezésére, várom megtisztelõ hívását!","14 000 Ft/hó",NA
"5","https://ingatlan.com/xiii-ker/elado+lakas/tegla-epitesu-lakas/31865603","31865603","13. kerület, Angyalföld",41," 1 ",NA,"jó állapotú","1950-1980 között","komfortos","1","4","nincs megadva","3 m vagy magasabb","gáz (konvektor)","egy helyiségben","nyugat","utcai","nem","nincs megadva","utca, közterület - fizetõs övezet"," Eladó lakás a XIII. kerületben!Eladó egy 41 m2-es ,1 szobás ,elsõ emeleti téglaépítésû lakás a XIII. kerület közkedvelt részén!Elhelyezkedésébõl adódóan kiadásra is optimális választás.Az ingatlan fõbb jellemzõi:-41m2 lakótér-Gáz fûtés, konvektoros-Közepes állapot, jól alakítható.-Saját tároló 4m2-A szoba galériázott-Egyedi mérõkkel rendelkezik (víz, villany, gáz)-Közös költsége 9000 Ft/hó -4000-Ft/hó+felújítási alap-Éjjel-nappal remekül megközelíthetõ.-Fõ gerinc gázvezeték, és az udvar térburkolatának cseréje megtörtént.-Acél többponton záródó bejárati ajtó már cserélve lett.Kiváló lehetõség akár saját célra akár befektetésnek ,könnyen bérbe adható!A lakásba való bejutás biztosítva van (üres lakás kulcsom van hozzá)Irodánkban a következõ szolgáltatásokkal állunk meglévõ és leendõ ügyfeleink rendelkezésére:-ingatlanközvetítés (díjmentes tanácsadás, kiemelt méretû vevõi adatbázis, magas szintû szakmai háttér, hatékony eladási stratégia, profi áralku)-értékbecslés-bank semleges hitelügyintézés vásárlóknak (díjmentes hitelszûrés és tanácsadás)-Adás-vétellel kapcsolatos jogi tanácsadás.-Energetikai tanúsítvány készítése.Bármely kérdés felmerül önben az ingatlannal kapcsolatban, keressen bátran, ",NA,NA
"6","https://ingatlan.com/xiii-ker/elado+lakas/tegla-epitesu-lakas/31703751","31703751","13. kerület, Vizafogó",37," 1 ",NA,"felújított",NA,"összkomfortos","1","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (konvektor)","egy helyiségben","nincs megadva","udvari","nem","nem tetõtéri","utca, közterület"," ELADÓ Budapest XIII. kerület közepén az Árpád- hídhoz és a Göncz Árpád- városközponthoz közeli részén, egy nagyon jó és szép állapotú, tiszta lakás, egy rendezett szép házban, rendes és csendes lakóközösséggel. Az ingatlan I. emeleti, udvari fekvésû, az ablakok egy szép belsõ kertre és egy nagy zöld fára néznek.A lakás 37Nm nagyságú és 2db bejárattal rendelkezik. Az egyik bejárat közvetlen a konyhába nyílik, a másik bejárat egy kisebb elõszobába, ahonnan nyílik a különálló zuhanykabinnal felszerelt fürdõszoba, mosdóval együtt és a nagy szoba, vagy nappali. A nappaliból nyílik az étkezõvel, kamrával kialakított konyha. Ha az új vevõ szeretné, mert van rá mód a konyhát át lehet helyezi a nappaliba, mert közös a nappali és a konyha fala, ekkor egy különálló hálószobát lehet még kialakítani az ingatlanon belül. Közös költség:8500Ft/hó. Megtekintés végett keressen, akár a hétvégén is nyugodtan! ",NA,NA
"7","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/29678801","29678801","8. kerület, Dugonics utca 2.",32," 1 ",NA,"újszerû","2001-2010 között","összkomfortos","1","6","van","nincs megadva","házközponti egyedi méréssel","egy helyiségben","nincs megadva","udvari","igen","nincs megadva","teremgarázs hely - megvásárolható"," TULAJDONOSTÓL ELADÓ LAKÁS!VIII. kerület Dugonics út 2/B társasházbanBudapest rehabilitált VIII. kerületében közel a belváros lüktetéséhez, de csendes utcában, a Dugonics Házban, 2008-ban épült, újszerû, kitûnõ állapotú 32 m2-es egyszobás, teraszos és saját kerttel rendelkezõ alacsony fenntartású lakás eladó.•fiataloknak•befektetõknek•azoknak akik a piac igazodásával nyereséget szeretnének elkönyvelni a vásárlásukkalMûanyag nyílászárókkal és fiatalos burkolatokkal és színekkel felszerelt, modern kialakítású napfényes, tágas lakás. Közös költség: 16.500,-Ft (liftkarbantartás, lépcsõházi takarítás, közös költség). Lakás: 32 nmTerasz:3nmSaját kert: 32nmA lakás per és tehermentes!!!A parkolás közterületen lehetséges, fizetõs övezet.DE a teremgarázsban vásárolható parkoló: 2.500.000,-FT / db áron.Az ingatlan kitûnõen megközelíthetõ pár perc sétával a Klinikák metrómegállótól, Üllõi úti tömegközlekedéssel, illetve a Kálvária téri közlekedési csomóponttól (BKV 83, 9, 909, csatlakozás 4-es, 6-os).Az ingatlan kellemes klímájú zöldövezet (Orczy Kert, Füvészkert, Természettudományi Múzeum) szomszédságában található, amely számtalan kulturális és aktív pihenési lehetõségeket biztosít.A legújabb és legmodernebb egyetemi városrész a LUDOVIKA CAMPUS csupán 1 perce található, ahol park, lovarda, sportcsarnok, uszoda, futópálya, csónakázótó, görhoki, kosár, kézilabda, focipálya és játszótér kapott teret a nagyközönségnek.A lakás elhelyezkedése garancia a kiváló befektetésre, azonnal kiadható az egyetemek közelsége miatt (ELTE, Nemzeti Közszolgálati Egyetem, Avicenna International Collage ).Várom szíves érdeklõdõ hívását.Amennyiben nem tudom felvenni, kérem írjon, illetve visszahívom.Köszönöm","18 000 Ft/hó",NA
"8","https://ingatlan.com/xiii-ker/elado+lakas/tegla-epitesu-lakas/31638469","31638469","13. kerület, Róbert Károly körút",36," 1 + 1 fél ",NA,"jó állapotú","1950 elõtt","nincs megadva","1","3","nincs","3 m vagy magasabb","gáz (konvektor)","egy helyiségben","északkelet","udvari","nincs megadva","nincs megadva","nincs megadva"," XIII. KIKA közelében, jó állapotú, tégla építésû társasház 1. emeletén eladó egy 36m2-es, MÁSFÉL KÜLÖNNYÍLÓ SZOBÁS, FELÚJÍTOTT, csendes nézetû, ugyanakkor jó fényviszonyú, remek elrendezésû, AZONNAL BIRTOKBA VEHETÕ lakás.Az ingatlanban két külön bejáratú szoba, egy közlekedõ, fürdõszoba+wc, és egy tágas konyha helyiségek kaptak helyet. Elrendezése igen praktikus, mivel külön nappaliszoba és hálóhelyiség is rendelkezésre áll lakói számára.A lakás állapota kitûnõ. Teljes körû felújítására nem régen került sor. Ennek során cserélve lett a falon belüli gépészet, a szerelvények, szaniterek, tartozékok, továbbá az összes padló és faliburkolat is. A nyílászárók KORSZERÛ, MÛANYAG ABLAKOKRA és új fa bejárati ajtóra lettek cserélve.Konyhája bútorozott és részben gépesített, ez természetesen a lakással együtt az új tulajdonost illeti majd.Az ingatlan TEHERMENTES, AZONNAL BIRTOKA VEHETÕ, RUGALMASAN MEGTEKINTHETÕ.A társasház tiszta, kívül-belül jó állapotú, a szomszédság rendezett.A környék ellátottsága kitûnõ. Óvoda, iskola, üzletek, rendelõ, gyógyszertár, parkok, kikapcsolódási lehetõségek karnyújtásnyira vannak. A tömegközlekedés szintén remek, pár percre áll meg az 1-es és a 14-es villamos, és a 32-es, 105-ös autóbuszok, melyekkel könnyen, gyorsan és átszállás nélkül elérhetõ az M1, M2, M3 metróvonal, a Lehel tér és a Nyugati pályaudvar, és az Örs Vezér tere is.Állok rendelkezésére a hét minden napján, keressen bizalommal! ",NA,NA
"9","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/31782998","31782998","8. kerület, Magdolna utca",34," 1 ",NA,"felújított","1950 elõtt","összkomfortos","3","4","van","3 m vagy magasabb","gáz (konvektor)","külön helyiségben","kelet","utcai","nem","nem tetõtéri","utca, közterület - ingyenes","   Virtuális séta az ingatlanban  icomTagManagerEvent.addExtraFeatureEvent('megjelenes', 'virtualisSeta'); Felújított, világos, harmadik emeleti garzon, rendezett társasházbanA Magdolna utcában kínálunk eladásra egy utcára nézõ, teljes körûen felújított, egyszobás lakást, kulturált, szépen fejlõdõ társasházban.Az 1900-as évek elején téglából épült sarokház elektromos hálózatának felújítása tavaly nyáron fejezõdött be, így minden ingatlan mérõórája a lakásokon kívülre került. A legfelsõ szinten lévõ lakás szempontjából nem elhanyagolható, hogy a kémények, a kéményseprõjárdák, és a bádogelemek az elmúlt 10 évben szintén megújultak. Az udvar és a függõfolyosók is jó állapotban vannak, a társasház összképe rendszeretõ tulajdonosokról árulkodik. A négy szinten található 40 magántulajdonú albetét közül sok teljes körû felújításon esett át az elmúlt években, így a lakóközösség is fiatalodott. A lépcsõház átlagos állapotú, a lift hiánya, köszönhetõen a sportos emeleti lakóknak, eddig nem okozott gondot. Az ingatlant ebben az állapotában még nem lakták, a jelenlegi tulajdonos ötletesen alakította ki a belsõ tereket, és egy stílusos, fiatalos lakást álmodott meg. Az elkészült munka már a fotók alapján is különleges ízlésrõl és igényességrõl árulkodik. A galéria vasszerkezete és korlátja, valamint a puritán téglafal az indusztriál stílust idézi, de a fából készült kiegészítõk és térelválasztók is hangsúlyosak. Az elõtér-konyha elegendõ helyet kínál a megérkezéshez, a fõzéshez, és az étkezéshez is. A rusztikusra csiszolt átjáróból a keleti tájolású szobába érkezünk, ahol a galéria alatt kapott helyet a külön toalett és a zuhanyzó, mindkettõ szellõzõvel szerelve. A 3,5 méteres belmagasság miatt kiválóan használható a fekvõgaléria. Az utcai kilátás és a falszínek tudatos használata jó térérzetet biztosít, és még tágasabbá teszi az új otthont, aminek fekvésébõl adódóan mindkét helyisége nagyon világos. FinanszírozásAz ingatlan készpénzzel és hitelkonstrukcióban is megvásárolható, ebben az esetben szakértõ kolléganõnk készséggel áll rendelkezésére, és tájékoztatja Önt a legkedvezõbb lehetõségekrõl.Mûszaki információ- a generál felújítással a teljes gépészet is megújult, és a nyílászárókat is kicserélték- a biztonsági bejárati ajtót rács is védi- konvektoros fûtés van, a meleg-vizet villanybojler szolgáltatja- a közös költség 8.860 Ft, vízóra vanKörnyék és közlekedésA szemben lévõ saroktelken egy újépítésû ház épült fel. A közterek is sorra megújultak az elmúlt években, köszönhetõen a Magdolna negyed fejlesztési programjának. A FIDO parkban sportolhatunk, kutyát sétáltathatunk, kicserélték a 24-es villamos pályáját, ezzel együtt pedig megújultak a megállók is. A Teleki téren a helyi árusoktól, vagy a Lidl-ben vásárolhatunk. Az Auróra utcai Rendelõintézet kívül-belül új köntösbe öltözött. Az Orczy úton a pályaudvar helyén az építészetileg is jelentõs Sorsok háza található, az új gyógyfürdõ tervei pedig készülõben. A Keleti pályaudvarra, vagy a Blaha Lujza térre villamossal 10 percen belül elérhetünk. Parkolóhely mindig található az utcában. Összességében a folyamatos rehabilitáció, az innováció, a rend, és a biztonság egyaránt jellemzõ a társadalmilag és kulturálisan is sokszínû negyedre.A fentiek tükrében bátran ajánlom fiatal párok elsõ kuckójának, vagy befektetõknek is, hiszen a közelben több nagy egyetemi központ is található. További információkért, valamint megtekintéssel kapcsolatosan keressen bizalommal!  TOP3 ingatlan weboldala   ","20 000 Ft/hó",NA
"10","https://ingatlan.com/viii-ker/elado+lakas/tegla-epitesu-lakas/31530274","31530274","8. kerület, Bauer Sándor utca",40," 2 + 1 fél ",NA,"felújítandó","1950 elõtt","összkomfortos","félemelet","4","nincs","3 m vagy magasabb","gáz (konvektor)","egy helyiségben","délnyugat","udvari","nem","nem tetõtéri","utca, közterület - fizetõs övezet","   Bemutatóvideó az ingatlanról  icomTagManagerEvent.addExtraFeatureEvent('megjelenes', 'bemutatoVideo'); 3 szobássá alakítható - már elkezdett felújítás- igényes társasházban!! 40 m2-es, 2 szobás fszt.-i lakás eladó, melynek felújítása elkezdõdött: új elektromos vezetékek, új víz-és csatorna rendszer, gáz vezetékek. Csupán válaszfalak vannak, tetszés szerint alakítható az alaprajz. A konyha hatalmas ablakkal, mely által remekek a fények, hisz egy épületek által közrevett tágas területre néz (szobának is remek lehet). A fürdõ is erre a területre szellõzik. Az épület külsõ homlokzata felújított, a belsõ munkákat is elkezdték, ill. folytatják. Elektromos-és gázhálózatát felújította a társasház, a következõ munkálatok az udvar térkövezése, lépcsõház festése lesz.A társasház jól gazdálkodik, lakói igényesek, vigyáznak a környezetükre.CSOK igénybevétele esetén illetékmentességet kap a vásárló! Felújításhoz is támogatás igénybevehetõ: max. 3 M Ft-erejéig (6 M Ft-os ráfordítás esetén).Referencia szám: LK506100 ",NA,NA
